curve_id,pair_id,split,kind,archetype,GT,truth_T1_latent,truth_T1_observable,mean_reporting_delay,delay_median,r_pre,r_post,ramp_days,ascertainment,dispersion,imports,weekday_batch_fraction,zero_fraction
development_fast_respiratory_000_outbreak,development_fast_respiratory_000,development,outbreak,fast_respiratory,3.461472317054684,46.0,48.0,1.8916904740058558,2,0.8221654910513704,1.7029459872104535,7,0.387394090914024,18.845759996524166,0.7004149766156168,0.24254898543662312,0.08636363636363636
development_fast_respiratory_000_no_outbreak,development_fast_respiratory_000,development,no_outbreak,fast_respiratory,3.461472317054684,,,1.8916904740058558,2,0.8221654910513704,,7,0.387394090914024,18.845759996524166,0.7004149766156168,0.24254898543662312,0.33181818181818185
development_fast_respiratory_001_outbreak,development_fast_respiratory_001,development,outbreak,fast_respiratory,2.726219911360634,47.0,49.0,2.196040198450744,2,0.7910837116936104,1.6407717003748408,12,0.36277836798972873,11.349508702853315,0.8183268014254214,0.335745268107003,0.09090909090909091
development_fast_respiratory_001_no_outbreak,development_fast_respiratory_001,development,no_outbreak,fast_respiratory,2.726219911360634,,,2.196040198450744,2,0.7910837116936104,,12,0.36277836798972873,11.349508702853315,0.8183268014254214,0.335745268107003,0.2863636363636364
development_fast_respiratory_002_outbreak,development_fast_respiratory_002,development,outbreak,fast_respiratory,3.352974015878692,51.0,53.0,2.831037172947173,2,0.8046714194387435,1.862287287092688,12,0.5881339531729363,8.58052207565334,1.5037894921931831,0.2746751668381999,0.045454545454545456
development_fast_respiratory_002_no_outbreak,development_fast_respiratory_002,development,no_outbreak,fast_respiratory,3.352974015878692,,,2.831037172947173,2,0.8046714194387435,,12,0.5881339531729363,8.58052207565334,1.5037894921931831,0.2746751668381999,0.05
development_fast_respiratory_003_outbreak,development_fast_respiratory_003,development,outbreak,fast_respiratory,2.78883093284876,43.0,45.0,2.3195599366948407,2,0.7485720087317319,2.180850926330284,5,0.4106454170888634,11.487925861209792,1.5393816604427206,0.273499381173073,0.05
development_fast_respiratory_003_no_outbreak,development_fast_respiratory_003,development,no_outbreak,fast_respiratory,2.78883093284876,,,2.3195599366948407,2,0.7485720087317319,,5,0.4106454170888634,11.487925861209792,1.5393816604427206,0.273499381173073,0.07727272727272727
development_fast_respiratory_004_outbreak,development_fast_respiratory_004,development,outbreak,fast_respiratory,2.968156822934328,59.0,60.0,1.1160120124348232,1,0.7756101081496863,1.6610928518778192,9,0.6338390750358358,12.67564976995116,0.8555403866919233,0.13035648848099388,0.08636363636363636
development_fast_respiratory_004_no_outbreak,development_fast_respiratory_004,development,no_outbreak,fast_respiratory,2.968156822934328,,,1.1160120124348232,1,0.7756101081496863,,9,0.6338390750358358,12.67564976995116,0.8555403866919233,0.13035648848099388,0.08636363636363636
development_fast_respiratory_005_outbreak,development_fast_respiratory_005,development,outbreak,fast_respiratory,3.178006891235908,38.0,39.0,1.3280862097342458,1,0.7475626652241072,2.021694340899254,12,0.5304552197965855,24.01381880421108,1.786370021875998,0.2785526273244548,0.01818181818181818
development_fast_respiratory_005_no_outbreak,development_fast_respiratory_005,development,no_outbreak,fast_respiratory,3.178006891235908,,,1.3280862097342458,1,0.7475626652241072,,12,0.5304552197965855,24.01381880421108,1.786370021875998,0.2785526273244548,0.08636363636363636
development_fast_respiratory_006_outbreak,development_fast_respiratory_006,development,outbreak,fast_respiratory,3.065897752489545,59.0,61.0,1.7620721676669155,2,0.8500966807329327,1.7364509215131811,11,0.6518955614707205,15.177930877739028,1.5622987998984197,0.19203352416966207,0.004545454545454545
development_fast_respiratory_006_no_outbreak,development_fast_respiratory_006,development,no_outbreak,fast_respiratory,3.065897752489545,,,1.7620721676669155,2,0.8500966807329327,,11,0.6518955614707205,15.177930877739028,1.5622987998984197,0.19203352416966207,0.0
development_fast_respiratory_007_outbreak,development_fast_respiratory_007,development,outbreak,fast_respiratory,3.9690423336398237,57.0,58.0,1.6233482095555722,1,0.7595629316743062,2.0037828775039705,7,0.5493936624182526,23.74564067048188,0.8056861646922615,0.15497209590117678,0.10909090909090909
development_fast_respiratory_007_no_outbreak,development_fast_respiratory_007,development,no_outbreak,fast_respiratory,3.9690423336398237,,,1.6233482095555722,1,0.7595629316743062,,7,0.5493936624182526,23.74564067048188,0.8056861646922615,0.15497209590117678,0.2545454545454545
